Categoria;Modelo;AUC-ROC (Média ± Std);F1-Score;Sensibilidade;Especificidade;vs Benchmark
ML Clássico;SVM;0.6964 ± 0.1289;0.6687;0.7167;0.5778;ABAIXO
ML Clássico;ENSEMBLE;0.6880 ± 0.0848;0.6040;0.6167;0.6287;ABAIXO
Deep Learning;Transformer;0.6049 ± 0.0816;0.4667;0.6250;0.4222;ABAIXO
Deep Learning;Hybrid;0.7260 ± 0.1544;0.6550;0.6500;0.6833;ABAIXO
